district	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	longitude	latitude	attraction	building	busstop	community	mall	primaryschool	restaurant	secondaryschool	university	deltausers
朝阳区	纯住宅	1	1	1	1	1	0	1	32992.0	420.0	12.0	116.630295	40.322193	0	0	0	1	0	0	2	1	0	-13
东城区	纯住宅	1	1	1	1	1	0	1	58635.0	3801.0	15.0	116.440735	39.889175	2	6	1	39	0	2	39	0	0	0
朝阳区	商住两用	1	1	1	1	1	1	1	27863.0	3960.0	38.0	116.46239	39.868584	3	2	1	1	0	0	11	0	0	-79
朝阳区	写字楼	1	1	1	1	1	0	1	NULL	10560.0	16.0	116.45972	39.868374	1	2	0	1	0	0	6	0	0	-174
朝阳区	纯住宅	1	1	1	1	0	0	1	40000.0	956.0	24.0	116.45972	39.868374	1	2	0	1	0	0	6	0	0	-174
朝阳区	酒店式公寓	1	1	1	1	1	0	0	30395.0	2640.0	20.0	116.46549	39.869534	4	5	4	0	0	1	29	0	0	-59
朝阳区	纯住宅	1	1	1	0	0	0	0	40000.0	1540.0	23.0	116.464874	39.885082	0	4	4	79	0	0	44	0	0	-64
海淀区	商住两用	1	1	0	0	0	1	1	65000.0	3960.0	16.0	116.32023	39.975574	4	3	0	21	0	0	15	0	1	-130
海淀区	写字楼	1	1	1	1	1	0	0	NULL	3520.0	24.0	116.30727	39.97308	0	8	3	91	0	0	23	3	0	-121
海淀区	写字楼	1	1	0	0	0	0	1	45000.0	3520.0	24.0	116.33193	39.976788	3	2	2	43	0	2	44	1	0	-119
海淀区	纯住宅	1	1	1	1	1	0	1	61341.0	3535.0	18.5	116.298744	39.962772	2	3	2	51	5	1	30	0	0	-49
海淀区	酒店式公寓	1	1	1	0	0	0	1	65461.0	14520.0	26.0	116.31265	39.94216	1	22	1	12	1	0	29	0	4	-123
海淀区	写字楼	1	1	0	0	0	0	1	NULL	7040.0	10.5	116.31717	39.98168	2	22	2	32	0	1	42	2	2	-93
海淀区	纯住宅	1	1	0	0	1	0	1	40816.0	1022.0	19.0	116.328224	39.954666	0	9	1	20	0	0	16	0	4	-36
海淀区	写字楼	1	1	1	0	0	0	1	NULL	3520.0	12.0	116.30861	39.948414	1	6	4	16	0	1	19	0	1	-72
