city	id	name	district	address	type	rt1	rt2	rt3	rt4	rt5	rt6	rt7	price	population	height	longitude	latitude	Attraction	Building	BusStop	Community	Mall	PrimarySchool	Restaurant	SecondarySchool	Subway	University
北京	0100309	朝阳公园7号院(空后小区)	朝阳区	朝阳区朝阳公园西路7号	纯住宅	1	1	1	1	0	0	0	48000.0	1064.0	12.0	116.47424	39.942	10	2	1	22	0	0	12	0	0	0
北京	0100721	金雅园	海淀区	海淀区西四环北路116号	纯住宅	1	1	0	0	0	0	1	51000.0	3500.0	8.5	116.28021	39.942123	2	5	1	37	0	0	19	0	0	0
北京	0100215	人济山庄	海淀区	海淀区紫竹院路1号	酒店式公寓	1	1	1	0	0	0	1	65461.0	14520.0	26.0	116.31265	39.94216	1	22	1	12	1	0	29	0	0	4
北京	0102555	寰太大厦	海淀区	海淀区中关村南大街甲12号	写字楼	1	1	1	1	1	1	0	NULL	3520.0	17.0	116.328	39.942738	0	3	2	37	0	0	5	2	0	0
北京	0102563	天作国际中心	海淀区	北京海淀区中关村南大街12号	写字楼	1	1	1	1	1	1	0	NULL	3520.0	31.0	116.328	39.942738	0	3	2	37	0	0	5	2	0	0
北京	0101084	龙阁	朝阳区	朝阳区朝阳公园西路15号	商住两用	1	1	1	1	1	0	1	55600.0	1320.0	16.0	116.47296	39.942955	12	1	0	21	0	0	5	0	0	0
北京	0103309	西山枫林一、二期	石景山	石景山区香山南路168号	纯住宅	1	0	0	0	0	0	1	40500.0	14598.5	15.0	116.20321	39.943165	0	2	2	1	0	0	3	0	0	0
北京	0102597	朝阳法院公寓	朝阳区	朝阳区姚家园西里7号院	纯住宅	1	1	1	1	0	0	0	30000.0	1432.0	15.5	116.5122	39.94319	0	4	2	12	0	0	9	0	0	0
北京	0102309	长河湾A区	海淀区	海淀区高粱桥斜街59号	商住两用	1	1	1	1	1	0	0	58000.0	16130.4	9.5	116.35007	39.943687	8	8	1	33	2	0	37	0	0	1
北京	0102310	长河湾B区	海淀区	海淀区高粱桥斜街59号	商住两用	1	1	1	1	1	0	0	57000.0	3960.0	9.5	116.35007	39.943687	8	8	1	33	2	0	37	0	0	1
北京	0102216	水电二局公寓(1)	东城区	东城区六铺炕3号	纯住宅	1	1	0	0	0	0	1	33600.0	784.0	16.0	116.39424	39.94398	86	1	0	13	0	1	31	0	0	0
北京	0103499	塔园外交办公楼	朝阳区	朝阳区新东路1号	写字楼	0	0	0	0	1	1	0	NULL	3414.4	22.0	116.44988	39.944237	1	21	1	176	0	1	48	2	0	0
北京	0100951	塔园外交公寓	朝阳区	朝阳区新东路1号	纯住宅	0	1	1	1	0	0	0	NULL	1278.0	18.0	116.44988	39.944237	1	21	1	176	0	1	48	2	0	0
北京	0103487	东直门外外交办公楼	东城区	朝阳区新东路1号	写字楼	0	0	0	0	1	1	0	NULL	6899.2	20.0	116.44988	39.944237	1	21	1	176	0	1	48	2	0	0
北京	0101761	后桃园小区	海淀区	海淀区德胜门西大街74号	纯住宅	1	1	1	1	1	0	1	58000.0	1239.0	12.0	116.36014	39.944473	0	10	4	66	2	0	32	1	1	0
北京	0103093	华康大厦	朝阳区	朝阳区麦子店街78号	写字楼	1	0	0	0	0	0	1	45000.0	3132.8	6.0	116.47241	39.945316	19	0	0	2	0	0	2	0	0	0
北京	0102156	车道沟东里小区	海淀区	海淀区车道沟东里1-4号楼	纯住宅	1	0	0	0	0	1	1	56000.0	1750.0	16.0	116.30928	39.94537	2	2	2	27	1	1	25	0	0	0
北京	0103451	珠江丽景家园	通州区	永顺镇潞邑西路甲32-5号	纯住宅	1	1	0	1	1	0	1	20000.0	20300.0	21.0	116.69025	39.94555	0	0	1	3	0	0	6	0	0	0
北京	0100339	兵器大厦	海淀区	海淀紫竹院路69号	写字楼	1	0	0	0	0	0	1	37000.0	3520.0	19.0	116.30231	39.94566	0	1	2	38	0	0	6	0	0	0
北京	0101048	北京首钢国际大厦	海淀区	海淀西直门北大街60号	写字楼	1	1	1	0	0	0	0	42500.0	9926.4	24.0	116.35719	39.945717	0	22	4	100	4	1	96	0	0	0
北京	0101559	明德大厦	西城区	北京市西城区小石桥胡同2号	其他	0	0	0	0	0	1	0	NULL	1320.0	4.0	116.392845	39.94572	67	0	0	9	0	1	18	0	0	0
北京	0102607	亮马河大厦	朝阳区	北京市朝阳区东三环北路8号	写字楼	1	1	1	1	1	1	0	NULL	7040.0	28.0	116.463806	39.945824	0	2	0	9	2	0	11	0	0	0
北京	0100117	宾都苑	朝阳区	朝阳区麦子店枣营北里6号	纯住宅	1	1	1	0	0	0	1	48389.0	245.0	8.0	116.47386	39.94596	13	0	0	8	0	0	1	0	0	0
北京	0103258	枣营北里小区	朝阳区	北京市朝阳区麦子店枣营北里6号	纯住宅	1	1	1	0	0	0	1	42000.0	3696.0	22.0	116.47386	39.94596	13	0	0	8	0	0	1	0	0	0
北京	0103287	紫竹院路7号楼	海淀区	北京海淀区紫竹院路7号楼	纯住宅	0	0	0	0	0	1	0	45000.0	350.0	22.0	116.29851	39.945965	0	1	4	31	0	0	7	1	0	0
北京	0100230	富丽华园	朝阳区	朝阳区麦子店街40号院	纯住宅	1	1	1	1	1	0	0	45000.0	3304.0	14.0	116.467674	39.94643	3	0	1	1	0	0	1	0	1	0
北京	0100277	金晖嘉园三期	海淀区	西直门北大街58号	纯住宅	1	1	0	0	0	0	1	67000.0	1628.0	20.0	116.35864	39.946487	0	21	5	42	4	0	93	0	1	0
北京	0100135	金晖嘉园一期	海淀区	海淀区西直门北大街58号	纯住宅	1	1	0	0	0	0	1	67000.0	1103.0	20.0	116.35864	39.946487	0	21	5	42	4	0	93	0	1	0
北京	0101852	可丽亚商务酒店	朝阳区	朝阳区麦子店街枣营北里19号院	酒店宾馆	1	1	1	1	1	0	1	50000.0	1320.0	4.0	116.470764	39.94657	11	0	1	0	0	0	1	0	1	0
北京	0101042	中国空间技术研究院	海淀区	海淀区中关村南大街31号院	商住两用	0	1	1	0	0	1	1	45000.0	1306.8	24.0	116.3212	39.94664	9	3	1	12	0	0	19	0	0	0
北京	0100515	大隐名座	海淀区	海淀区交大东路60号	商住两用	1	1	0	0	0	0	1	51000.0	2640.0	20.0	116.34971	39.946705	25	2	1	25	0	0	22	0	0	0
